[2025-12-08 22:01:05] Website check on : No issues
[2025-12-08 22:01:13] Website check on https://samridhkhanna-dotcom.github.io/INFR3120-Fall25-Project/: No issues
[2025-12-08 22:01:14] Website check on https://samridhkhanna-dotcom.github.io/INFR3120-Fall25-Project/: No issues
[2025-12-08 22:01:15] Website check on https://samridhkhanna-dotcom.github.io/INFR3120-Fall25-Project/: No issues
[2025-12-08 22:01:24] Password checked: , score: 0/5
[2025-12-08 22:01:26] Port scan on 10.35.24.6: []
[2025-12-08 22:01:26] Port scan on 10.35.24.6: []
[2025-12-08 22:01:27] Port scan on 10.35.24.6: []
[2025-12-08 22:01:27] Port scan on 10.35.24.6: []
[2025-12-08 22:01:30] Password checked: $2hh87, score: 3/5
[2025-12-08 22:01:33] Password checked: $2hh87bjhbjhbj, score: 4/5
[2025-12-08 22:01:34] Password checked: $2hh87bjhbjhbj, score: 4/5
[2025-12-08 22:01:34] Password checked: $2hh87bjhbjhbj, score: 4/5
[2025-12-08 22:01:35] Website check on https://samridhkhanna-dotcom.github.io/INFR3120-Fall25-Project/: No issues
[2025-12-08 22:01:41] Port scan on 10.35.24.6: []
